"DateAddedToCart","Source","ASIN","CartDomain","CartList","Quantity","OneClickBuyable","ToBeGiftWrapped","PrimeSubscription","Pantry","AddOn"
"2023-08-04T00:57:37.606Z","Retail","B08XVZRR21","Not Applicable","saved","1","No","No","No","No","No"
"2023-08-04T00:56:17.599Z","Retail","B092R2G7FF","Not Applicable","saved","1","No","No","No","No","No"
"2023-08-03T17:25:28.922Z","Retail","B09L3X8GHZ","Not Applicable","saved","2","No","No","No","No","No"
"2023-08-03T14:24:57.972Z","Retail","B07W48JF1C","Not Applicable","saved","1","No","No","No","No","No"
"2023-08-03T14:22:54.164Z","Retail","B08R6QR863","Not Applicable","saved","3","No","No","No","No","No"
"2023-08-02T04:26:42.962Z","Retail","B07S5FBY3J","Not Applicable","saved","2","No","No","No","No","No"
"2023-07-16T17:34:37.610Z","Retail","B08HM656S6","Not Applicable","saved","1","No","No","No","No","No"
"2023-07-01T13:05:22.005Z","Retail","B07W8ZDDKT","Not Applicable","saved","1","No","No","No","No","No"
"2023-07-01T13:04:40.043Z","Retail","B08B48XL9V","Not Applicable","saved","1","No","No","No","No","No"
"2023-07-01T12:55:45.503Z","Retail","B086MMRW87","Not Applicable","saved","1","No","No","No","No","No"
"2023-04-03T18:39:40.540Z","Retail","B0BL7K3DNJ","Not Applicable","saved","1","No","No","No","No","No"
"2023-04-02T12:24:36.125Z","Retail","B01GO0HBF6","Not Applicable","saved","1","No","No","No","No","No"
"2023-03-22T13:45:37.725Z","Retail","B08JDXSWNM","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-22T11:47:56.594Z","Retail","B0B97VY31X","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-20T02:04:16.418Z","Retail","B0B42Z7WGG","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-20T02:03:05.838Z","Retail","B08537SWNC","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-20T02:02:10.050Z","Retail","B0B434ZZ37","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-20T01:59:50.317Z","Retail","B097NG1R71","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-16T03:31:05.774Z","Retail","B0B3VM2F7C","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-16T03:29:13.898Z","Retail","B08537QQ1D","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-15T12:03:23.817Z","Retail","B07FH7JJCK","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-15T12:02:10.020Z","Retail","B07G8D2GVG","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-15T12:01:04.399Z","Retail","B07NY2KZ1J","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-15T12:00:33.661Z","Retail","B09WMY759J","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-15T11:59:06.776Z","Retail","B07YZG5Z2T","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-15T11:57:59.792Z","Retail","B07F2XCYSN","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-15T11:51:02.684Z","Retail","B08CH1DSJK","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-15T11:49:37.849Z","Retail","B07QFF2J18","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-15T11:47:54.336Z","Retail","B0B431VF8H","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-15T11:45:04.429Z","Retail","B0B2WWM2MX","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-15T11:41:55.830Z","Retail","B07MR2T41V","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-15T11:40:48.205Z","Retail","B09RBGCXGZ","Not Applicable","saved","2","No","No","No","No","No"
"2023-02-15T11:39:06.849Z","Retail","B08CH26DCS","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-13T08:05:17.979Z","Retail","B09F7PFPRR","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-13T08:01:51.007Z","Retail","B09RBG3PRM","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-13T08:01:30.897Z","Retail","B08GZZ1GS5","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-13T08:00:25.116Z","Retail","B09RBGMXRJ","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-13T07:59:28.215Z","Retail","B09RPB42F9","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-10T13:19:26.251Z","Retail","B097578H2D","Not Applicable","saved","3","No","No","No","No","No"
"2023-02-10T13:17:59.942Z","Retail","B097NGNLBF","Not Applicable","saved","2","No","No","No","No","No"
"2023-02-10T13:17:03.192Z","Retail","B097NFJ5FW","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-10T13:15:36.069Z","Retail","B08YCXVZYB","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-10T11:59:43.762Z","Retail","B09JP6214G","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-09T18:43:30.549Z","Retail","B07KPGKDB7","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-02T12:50:22.525Z","Retail","B0B7F55B1B","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-02T12:46:59.104Z","Retail","B099FDC8S7","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-02T12:46:09.450Z","Retail","B0BQJ3JK1J","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-02T12:44:41.036Z","Retail","B08PSQZTYF","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-02T12:43:12.395Z","Retail","B09CGW4X18","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-02T12:42:04.182Z","Retail","B08R1WD82J","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-01T16:47:43.830Z","Retail","B09WMVSY88","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-01T16:29:26.240Z","Retail","B09RBDX7PS","Not Applicable","saved","1","No","No","No","No","No"
"2023-02-01T16:29:26.240Z","Retail","B08PRZLH15","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-30T17:50:29.281Z","Retail","B09J3V2WQN","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-30T17:47:52.254Z","Retail","B085DB47VB","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-30T08:39:34.522Z","Retail","B07H737TJR","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-30T08:38:29Z","Retail","B07B8M8TFM","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-29T17:02:00.442Z","Retail","B07B8NLQFV","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-29T17:01:10.042Z","Retail","B0751HY1PX","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-29T16:52:50.351Z","Retail","B0B88GXFB3","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-29T16:52:00.099Z","Retail","B0BG2W2Z3P","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-29T16:51:22.768Z","Retail","B08WJFXRJB","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-29T11:38:46.345Z","Retail","B07T86H2BW","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-29T11:37:27.563Z","Retail","B07HL9BN6V","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-29T10:55:37.436Z","Retail","B07JN7PQ6S","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-29T06:57:07.124Z","Retail","B07XX3LZP1","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-29T06:37:57.882Z","Retail","B07YY1BY5B","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-29T05:50:45.896Z","Retail","B09NVPSCQT","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-28T15:26:05.159Z","Retail","B09NVP6HXY","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-28T14:56:35.988Z","Retail","B0BCF8JB9Z","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-28T14:54:09.872Z","Retail","B09RPCVBKY","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-28T13:47:42.486Z","Retail","B09R522971","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-28T13:45:44.587Z","Retail","B08662GQ6J","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-28T13:40:18.969Z","Retail","B09RV5JVMM","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-28T13:22:28.451Z","Retail","B09RPVZK5S","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-28T13:11:47.208Z","Retail","B0BC1BQC99","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-25T16:38:17.203Z","Retail","B084RQLGSJ","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-25T16:37:43.322Z","Retail","B0B59QYL6G","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-24T16:49:33.719Z","Retail","B0B81NZQ3H","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-23T16:18:33.835Z","Retail","B08D9T2R39","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-23T16:11:29.872Z","Retail","B0BBSB6XMZ","Not Applicable","saved","2","No","No","No","No","No"
"2023-01-06T08:04:29.058Z","Retail","B07SYPMHB7","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-06T08:03:03.743Z","Retail","B08537N24P","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-06T08:01:34.836Z","Retail","B09RBFTL2K","Not Applicable","saved","2","No","No","No","No","No"
"2023-01-06T07:50:57.194Z","Retail","B0B8DSW331","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-05T13:37:32.249Z","Retail","B0B322V6R8","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-05T13:36:27.653Z","Retail","B0BNLDZQTV","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-05T13:35:29.835Z","Retail","B09VXD8J3B","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-05T13:34:25.113Z","Retail","B0B1BX3TVL","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-05T13:32:53.993Z","Retail","B0B8DWCX92","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-05T13:27:54.968Z","Retail","B0BC16N1VY","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-05T13:26:21.487Z","Retail","B086629KVT","Not Applicable","saved","1","No","No","No","No","No"
"2023-01-05T13:26:11.335Z","Retail","B08662XYPC","Not Applicable","saved","1","No","No","No","No","No"
"2022-12-28T06:43:21.294Z","Retail","B09HCWSDPB","Not Applicable","saved","1","No","No","No","No","No"
"2022-12-28T06:41:49.332Z","Retail","B082YG7ZL2","Not Applicable","saved","1","No","No","No","No","No"
"2022-12-28T06:41:09.552Z","Retail","B0827WSXQ4","Not Applicable","saved","1","No","No","No","No","No"
"2022-12-28T06:40:22.414Z","Retail","B07DMKWYD1","Not Applicable","saved","1","No","No","No","No","No"
"2022-12-28T06:39:25.861Z","Retail","B0926SFP5C","Not Applicable","saved","1","No","No","No","No","No"
"2022-12-28T06:38:00.379Z","Retail","B07MNRTDK5","Not Applicable","saved","1","No","No","No","No","No"
"2022-12-28T06:37:33.379Z","Retail","B079MB43GX","Not Applicable","saved","1","No","No","No","No","No"
"2022-12-28T06:34:45.158Z","Retail","B08NVFGMMN","Not Applicable","saved","1","No","No","No","No","No"
"2022-12-28T06:33:11.018Z","Retail","B0849FBKPM","Not Applicable","saved","1","No","No","No","No","No"
"2022-12-28T06:32:33.695Z","Retail","B097RJ22Q3","Not Applicable","saved","1","No","No","No","No","No"
"2022-12-28T03:02:30.418Z","Retail","B0B29P7FJD","Not Applicable","saved","1","No","No","No","No","No"
"2022-12-28T03:01:05.639Z","Retail","B0B1XKFQX1","Not Applicable","saved","1","No","No","No","No","No"
"2022-12-22T08:39:51.400Z","Retail","B09VKFBHSW","Not Applicable","saved","1","No","No","No","No","No"
"2022-12-22T08:34:52.294Z","Retail","B09PLGB3WK","Not Applicable","saved","1","No","No","No","No","No"
"2022-12-19T09:42:17.682Z","Retail","B082LZGK39","Not Applicable","saved","1","No","No","No","No","No"
"2022-12-13T09:54:06.602Z","Retail","B0BKZFKQ3G","Not Applicable","saved","1","No","No","No","No","No"
"2022-12-11T09:37:54.313Z","Retail","B08RW78N96","Not Applicable","saved","1","No","No","No","No","No"
"2022-12-10T16:56:17.653Z","Retail","B08C7Q9PQC","Not Applicable","saved","1","No","No","No","No","No"
"2022-12-10T16:52:34.473Z","Retail","B0B5WXBWCS","Not Applicable","saved","1","No","No","No","No","No"
"2022-12-05T09:34:04.708Z","Retail","B0BDVJR9TB","Not Applicable","saved","1","No","No","No","No","No"
"2022-12-05T09:31:39.774Z","Retail","B08JQMF4QF","Not Applicable","saved","1","No","No","No","No","No"
"2022-11-25T02:07:58.721Z","Retail","B0991812WB","Not Applicable","saved","1","No","No","No","No","No"
"2022-11-22T09:37:44.956Z","Retail","B0B7F2FG3J","Not Applicable","saved","2","No","No","No","No","No"
"2022-11-17T07:12:51.970Z","Retail","B0B21VYSNV","Not Applicable","saved","1","No","No","No","No","No"
"2022-11-12T02:29:56.919Z","Retail","B08MCV25R5","Not Applicable","saved","1","No","No","No","No","No"
"2022-11-12T02:25:46.018Z","Retail","B08FZTPQDV","Not Applicable","saved","1","No","No","No","No","No"
"2022-11-11T10:10:39.161Z","Retail","B09DS2ZTCN","Not Applicable","saved","2","No","No","No","No","No"
"2022-10-23T00:43:21.625Z","Retail","B089LWWF9L","Not Applicable","saved","1","No","No","No","No","No"
"2022-10-23T00:42:59.499Z","Retail","B07YHWFML3","Not Applicable","saved","1","No","No","No","No","No"
"2022-10-19T14:43:22.563Z","Retail","B08J122VYC","Not Applicable","saved","2","No","No","No","No","No"
"2022-10-19T03:40:17.496Z","Retail","B09C3XZ9K9","Not Applicable","saved","1","No","No","No","No","No"
"2022-10-19T03:37:44.002Z","Retail","B09WDDSYTH","Not Applicable","saved","1","No","No","No","No","No"
"2022-10-18T02:14:36.118Z","Retail","B0B295FKG7","Not Applicable","saved","1","No","No","No","No","No"
"2022-10-18T02:13:14.773Z","Retail","B08PW9PH13","Not Applicable","saved","1","No","No","No","No","No"
"2022-10-18T02:12:02.509Z","Retail","B085CYQNDV","Not Applicable","saved","1","No","No","No","No","No"
"2022-10-18T02:09:50.066Z","Retail","B09PVGGTVG","Not Applicable","saved","2","No","No","No","No","No"
"2022-10-18T02:09:15.916Z","Retail","B08JMKZDVK","Not Applicable","saved","1","No","No","No","No","No"
"2022-10-18T02:09:02.455Z","Retail","B085CXY4FR","Not Applicable","saved","1","No","No","No","No","No"
"2022-10-12T17:42:48.046Z","Retail","B08PWRFKKM","Not Applicable","saved","1","No","No","No","No","No"
"2022-10-12T17:40:38.297Z","Retail","B09WDDSYTH","Not Applicable","saved","1","No","No","No","No","No"
"2022-10-12T17:38:23.843Z","Retail","B08YN8SHP1","Not Applicable","saved","1","No","No","No","No","No"
"2022-10-12T17:30:47.702Z","Retail","B0B8DPDTFM","Not Applicable","saved","2","No","No","No","No","No"
"2022-10-12T17:27:07.369Z","Retail","B0B5WR833P","Not Applicable","saved","1","No","No","No","No","No"
"2022-10-12T17:23:08.332Z","Retail","B07H4GPHYH","Not Applicable","saved","1","No","No","No","No","No"
"2022-10-12T17:19:38.154Z","Retail","B08TMDYKW8","Not Applicable","saved","1","No","No","No","No","No"
"2022-09-29T22:56:45.702Z","Retail","B07QWYH7LT","Not Applicable","saved","1","No","No","No","No","No"
